STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME_DAYMIN,OBSERVED_DURATION_MINUTES,OBSERVED_DURATION_MINUTES_EDITED,STOP_DURATION_MINUTES,STOP_DURATION_MINUTES_EDITED,SUSPECT_REPORTED_AGE,SUSPECT_HEIGHT,SUSPECT_HEIGHT_EDITED,SUSPECT_WEIGHT
17,276,1,1,18,18,23,6.2,185,180
3,1301,1,1,15,15,59,5.1,152.5,180
31,575,1,1,30,30,23,5.8,170,175
24,1410,2,2,19,19,18,6,180,190
3,1329,1,1,7,7,18,5.9,172.5,150
3,1329,1,1,7,7,22,5.9,172.5,170
10,935,0,0,3,3,43,6,180,160
24,1215,5,5,1,1,18,5.1,152.5,150
24,842,2,2,6,6,14,5.6,165,140
3,1275,1,1,0,0,20,5.4,160,170
17,1185,2,2,2,2,23,6.5,192.5,320
24,285,2,2,10,10,22,5.9,172.5,180
10,1227,0,0,2,2,16,5.8,170,140
3,1320,1,1,5,5,42,6,180,180
3,1280,1,1,10,10,27,6.3,187.5,180
3,1320,1,1,5,5,42,6,180,190
31,1356,1,1,14,14,18,5.1,152.5,162
31,1260,3,3,4,4,33,5.9,172.5,180
17,93,1,1,17,17,16,6,180,185
17,320,0,0,5,5,51,6.1,182.5,260
17,93,1,1,17,17,25,5.1,152.5,162
10,910,1,1,5,5,28,5.5,162.5,265
17,997,2,2,5,5,30,6.1,182.5,160
17,997,2,2,5,5,30,5.11,177.5,200
10,945,1,1,6,6,17,5.1,152.5,175
10,945,1,1,6,6,14,5.6,165,145
31,985,2,2,1,1,37,5.11,177.5,220
24,1380,1,1,10,10,28,6,180,180
24,3,1,1,5,5,18,6.1,182.5,160
24,462,1,1,5,5,39,5.6,165,145
24,3,1,1,5,5,18,6.1,182.5,165
24,3,1,1,5,5,17,5.7,167.5,160
31,738,1,1,1,1,26,5.11,177.5,170
31,785,1,1,5,5,39,5.9,172.5,180
10,1025,1,1,24,24,18,6,180,180
10,1025,1,1,24,24,17,5.1,152.5,150
