Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
2003,1.63,0.22,0.51,0.06,2.41,66,28,8.2,92,3
2001,2.07,0.26,0.0,0.08,2.41,82,16,8.4,53,1
2007,0.69,0.0,0.04,1.68,2.41,62,11,6.2,34,2
2005,1.67,0.61,0.03,0.07,2.38,91,65,8.7,173,3
2004,0.96,1.08,0.04,0.3,2.37,62,36,7.6,22,3
2004,1.25,0.86,0.01,0.26,2.37,83,59,8.8,55,3
2007,0.92,0.0,0.01,1.41,2.34,71,11,7.2,31,3
2001,1.08,0.7,0.34,0.21,2.34,84,21,8.4,189,4
2004,0.85,1.06,0.09,0.32,2.31,84,42,9.1,51,3
2008,0.38,0.07,0.01,1.82,2.28,82,8,6.9,20,1
2002,0.62,0.44,1.06,0.13,2.25,84,31,9.0,52,4
2003,0.88,1.03,0.0,0.31,2.22,92,44,8.8,204,3
2002,1.92,0.2,0.0,0.06,2.18,82,26,8.9,28,1
2004,1.04,0.81,0.0,0.27,2.13,77,26,9.0,20,1
2002,1.68,0.31,0.02,0.09,2.11,89,31,8.5,92,1
2003,0.63,0.21,1.13,0.13,2.11,78,24,9.3,201,3
2005,0.99,0.63,0.29,0.19,2.09,84,60,9.0,212,4
2002,1.11,0.71,0.0,0.27,2.08,44,7,6.2,11,1
2003,1.06,0.62,0.13,0.25,2.06,92,41,8.8,120,3
2006,1.74,0.02,0.0,0.28,2.04,72,38,9.0,34,3
2005,0.71,1.02,0.0,0.31,2.04,82,41,8.2,68,3
2003,1.57,0.18,0.0,0.27,2.03,86,19,7.7,41,1
2002,0.74,0.95,0.0,0.28,1.97,56,20,4.1,95,1
2003,0.71,0.58,0.51,0.17,1.97,68,40,6.6,167,4
2003,0.74,1.01,0.0,0.2,1.95,69,24,7.7,59,1
2003,1.69,0.2,0.0,0.06,1.95,90,31,8.8,70,1
2003,0.95,0.74,0.0,0.25,1.94,80,33,8.9,41,3
2004,1.09,0.15,0.65,0.04,1.94,77,32,8.9,137,3
2002,1.42,0.4,0.0,0.12,1.94,63,18,8.3,22,4
2004,1.0,0.72,0.0,0.21,1.93,79,48,8.5,69,3
2001,0.76,0.96,0.0,0.2,1.92,88,25,8.0,69,4
2004,0.94,0.73,0.0,0.25,1.92,80,18,9.2,46,1
2004,0.92,0.72,0.0,0.24,1.88,81,43,8.5,90,4
2001,0.53,0.16,1.07,0.1,1.87,78,17,9.1,90,3
2004,1.12,0.69,0.03,0.02,1.86,71,32,8.5,24,1
2001,0.91,0.71,0.0,0.24,1.86,70,16,7.4,8,1
