STOP_FRISK_DATE,STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME,STOP_FRISK_TIME_DAYMIN,MONTH2,DAY2,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,OBSERVED_DURATION_MINUTES_EDITED,SUSPECTED_CRIME_DESCRIPTION,SUSPECTED_CRIME_DESCRIPTION_EDITED,STOP_DURATION_MINUTES,STOP_DURATION_MINUTES_EDITED,SUSPECT_ARREST_OFFENSE,SUSPECT_ARREST_OFFENSE_EDITED,OFFICER_IN_UNIFORM_FLAG,WEAPON_FOUND_FLAG,DEMEANOR_OF_PERSON_STOPPED,DEMEANOR_OF_PERSON_STOPPED_TOP10,SUSPECT_REPORTED_AGE,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_HEIGHT_EDITED,SUSPECT_WEIGHT,SUSPECT_OTHER_DESCRIPTION,SUSPECT_OTHER_DESCRIPTION_TOP10,STOP_LOCATION_BORO_NAME
17-03-2019,76,18:00:00,1080,March,Sunday,POM,1,1,ASSAULT,ASSAULT,7,7,ASSAULT,ASSAULT,Y,Y,AGITATED,AGITATED,26,WHITE HISPANIC,5.5,162.5,170,TAN PANTS,NONE,QUEENS
24-03-2019,83,17:05:00,1025,March,Sunday,POM,10,10,CPW,CPW,10,10,(null),NONE,Y,N,CALM,CALM,14,BLACK,5.9,172.5,140,CHIPPED TOOTH,NONE,QUEENS
17-03-2019,76,04:10:00,250,March,Sunday,LT,0,0,CPW,CPW,5,5,(null),NONE,Y,N,A BIT IRATE,NONE,25,ASIAN / PACIFIC ISLANDER,5.6,165,165,HOODED SWEATSHIRT / EMBROIDERED JACKET / DARK PANTS,JACKET,QUEENS
24-03-2019,83,05:31:00,331,March,Sunday,POM,0,0,BURGLARY,BURGLARY,30,30,(null),NONE,Y,N,INTOXICATED,NONE,36,WHITE,5.9,172.5,170,"BLACK JACKET, RED BEARD",BEARD,QUEENS
31-03-2019,90,00:08:00,8,March,Sunday,POM,1,1,CPW,CPW,10,10,(null),NONE,Y,N,AGGRAVATED,NONE,21,WHITE,6,180,210,"BLUE JEANS, WHITE HOODIE, BLACK AND WHITE SNEAKERS",HOODIE,QUEENS
10-03-2019,69,11:30:00,690,March,Sunday,POM,1,1,PETIT LARCENY,PETIT LARCENY,7,7,(null),NONE,Y,N,"CALM, DRINKING BEER.",CALM,29,WHITE,5.7,167.5,210,NONE,NONE,STATEN ISLAND
22-04-2019,112,19:48:00,1188,April,Monday,POM,1,1,AUTO STRIPPIG,OTHER,6,6,AUTO STRIPPIG,OTHER,Y,N,NORMAL,NORMAL,53,BLACK HISPANIC,5.7,167.5,195,(null),NONE,MANHATTAN
29-04-2019,119,22:06:00,1326,April,Monday,POM,1,1,ROBBERY,ROBBERY,15,15,ROBBERY,ROBBERY,Y,N,NERVOUS,NERVOUS,19,BLACK,5.5,162.5,125,(null),NONE,MANHATTAN
29-04-2019,119,22:09:00,1329,April,Monday,POM,1,1,ROBBERY,ROBBERY,9,9,ROBBERY,ROBBERY,Y,Y,CALM,CALM,20,BLACK,6,180,150,WHITE JACKET AND BLUE JEANS,JACKET,MANHATTAN
01-04-2019,91,14:52:00,892,April,Monday,POM,1,1,CPW,CPW,1,1,CPW,CPW,Y,Y,CALM,CALM,35,BLACK,5.7,167.5,132,TATTOO ON NECK,TATTOO,MANHATTAN
01-04-2019,91,16:06:00,966,April,Monday,POM,6,6,GRAND LARCENY,GRAND LARCENY,9,9,(null),NONE,N,N,COMPLIANT,NONE,30,BLACK HISPANIC,6,180,175,TEAR DROP TATTOO LEFT EYE,TATTOO,MANHATTAN
15-04-2019,105,02:32:00,152,April,Monday,POM,1,1,ROBBERY,ROBBERY,6,6,ROBBERY,ROBBERY,Y,N,COOPERATIVE,COOPERATIVE,35,BLACK,5.6,165,145,GRAY BASEBALL CAP,NONE,MANHATTAN
22-04-2019,112,16:11:00,971,April,Monday,POM,1,1,CP OF MARIHUANA,CP OF MARIHUANA,10,10,(null),NONE,N,N,COOPERATIVE,COOPERATIVE,18,WHITE HISPANIC,5.9,172.5,160,"BLUE/BLACK SWEAT SHIRT, SWEAT PANTS",NONE,MANHATTAN
22-04-2019,112,15:10:00,910,April,Monday,POM,1,1,CPW,CPW,5,5,(null),NONE,Y,N,COOPERATIVE,COOPERATIVE,66,BLACK,5.8,170,175,"BL, JACKET, BL, HAT",JACKET,MANHATTAN
01-04-2019,91,17:49:00,1069,April,Monday,POM,1,1,ROBBERY,ROBBERY,10,10,(null),NONE,Y,N,NERVOUS,NERVOUS,18,BLACK,5.8,170,135,(null),NONE,MANHATTAN
01-04-2019,91,17:45:00,1065,April,Monday,POM,1,1,ROBBERY,ROBBERY,7,7,(null),NONE,Y,N,CALM,CALM,14,BLACK,4.7,137.5,110,(null),NONE,MANHATTAN
01-04-2019,91,17:45:00,1065,April,Monday,POM,1,1,ROBBERY,ROBBERY,7,7,(null),NONE,Y,N,CALM,CALM,13,BLACK,4.8,140,110,BACKPACK,NONE,MANHATTAN
29-04-2019,119,08:45:00,525,April,Monday,POM,1,1,ROBBERY,ROBBERY,10,10,(null),NONE,Y,N,NERVOUS,NERVOUS,16,BLACK,5.6,165,150,UNK,NONE,BRONX
15-04-2019,105,22:05:00,1325,April,Monday,POM,1,1,BURGLARY,BURGLARY,20,20,(null),NONE,Y,N,SCARED,NONE,25,WHITE,5.9,172.5,180,(null),NONE,BROOKLYN
22-04-2019,112,23:10:00,1390,April,Monday,POM,0,0,CPW,CPW,5,5,(null),NONE,Y,N,NERVOUS,NERVOUS,23,WHITE HISPANIC,5.9,172.5,150,(null),NONE,BROOKLYN
15-04-2019,105,22:05:00,1325,April,Monday,POM,1,1,BURGLARY,BURGLARY,20,20,(null),NONE,Y,N,SCARED,NONE,25,WHITE,5.9,172.5,160,(null),NONE,BROOKLYN
08-04-2019,98,13:40:00,820,April,Monday,POM,1,1,PETIT LARCENY,PETIT LARCENY,5,5,(null),NONE,Y,N,INTOX REMOVED TO HOSPITAL,NONE,40,BLACK,5.9,172.5,150,(null),NONE,BROOKLYN
01-04-2019,91,17:43:00,1063,April,Monday,POM,1,1,ASSAULT,ASSAULT,37,37,(null),NONE,Y,N,COMPLIANT,NONE,33,BLACK,6.5,192.5,200,NONE,NONE,BROOKLYN
15-04-2019,105,16:37:00,997,April,Monday,POM,1,1,CPW,CPW,15,15,(null),NONE,Y,Y,CALM,CALM,39,WHITE,5.1,152.5,170,RED JACKET,JACKET,BROOKLYN
15-04-2019,105,12:42:00,762,April,Monday,POF,1,1,CPW,CPW,17,17,(null),NONE,Y,N,#N/A,NONE,25,BLACK,5.11,177.5,160,(null),NONE,BROOKLYN
08-04-2019,98,03:15:00,195,April,Monday,POM,0,0,CPW,CPW,3,3,(null),NONE,Y,N,THANKED OFFICERS AND WENT ON HIS WAY,NONE,35,BLACK,6.5,192.5,180,"BLUE HAT, BLUE AND ORANGE SHIRT, WHITE AIRE FORCE 1 SNEAKERS WITH ORANGE LACES,",HAT,BROOKLYN
08-04-2019,98,16:00:00,960,April,Monday,POM,1,1,CPW,CPW,3,3,(null),NONE,Y,N,CALM,CALM,30,BLACK,6,180,250,NONE,NONE,BROOKLYN
08-04-2019,98,00:35:00,35,April,Monday,DTS,0,0,CPW,CPW,10,10,(null),NONE,N,N,CALM,CALM,30,BLACK,5.8,170,160,(null),NONE,BROOKLYN
08-04-2019,98,10:10:00,610,April,Monday,POM,1,1,CPW,CPW,2,2,(null),NONE,Y,N,CALM,CALM,53,WHITE HISPANIC,5.8,170,155,(null),NONE,BROOKLYN
01-04-2019,91,00:20:00,20,April,Monday,POM,0,0,ROBBERY,ROBBERY,1,1,ROBBERY,ROBBERY,Y,N,#N/A,NONE,23,BLACK,6.3,187.5,210,(null),NONE,BROOKLYN
01-04-2019,91,21:30:00,1290,April,Monday,SGT,1,1,CPW,CPW,1,1,(null),NONE,N,N,AGGRESSIVE AND NONCOMPLIANT,NONE,20,BLACK,5.6,165,140,(null),NONE,BROOKLYN
08-04-2019,98,00:24:00,24,April,Monday,POM,1,1,CPW,CPW,24,24,CPW,CPW,Y,N,"NERVOUS, BREATHING HEAVY",NERVOUS,22,BLACK,6,180,175,(null),NONE,BROOKLYN
29-04-2019,119,00:05:00,5,April,Monday,SGT,1,1,CPW,CPW,1,1,(null),NONE,N,N,UNCOOPERATIVE,NONE,25,BLACK,5.9,172.5,150,(null),NONE,BROOKLYN
01-04-2019,91,22:16:00,1336,April,Monday,POM,2,2,CPW,CPW,2,2,CPW,CPW,Y,Y,#N/A,NONE,18,BLACK,5.6,165,140,(null),NONE,BROOKLYN
08-04-2019,98,15:27:00,927,April,Monday,POM,10,10,GRAND LARCENY AUTO,GRAND LARCENY AUTO,15,15,(null),NONE,N,N,NERVOUS,NERVOUS,12,BLACK,5.4,160,120,N/A,NONE,BROOKLYN
08-04-2019,98,15:27:00,927,April,Monday,POM,10,10,ROBBERY,ROBBERY,15,15,(null),NONE,N,N,CALM,CALM,13,BLACK,5.1,152.5,140,N/A,NONE,BROOKLYN
29-04-2019,119,18:27:00,1107,April,Monday,POM,1,1,CPW,CPW,40,40+,(null),NONE,Y,N,RESISTANT,NONE,18,WHITE HISPANIC,5.1,152.5,150,(null),NONE,BROOKLYN
29-04-2019,119,22:24:00,1344,April,Monday,POM,3,3,ASSAULT,ASSAULT,30,30,(null),NONE,Y,N,NERVOUS,NERVOUS,23,BLACK,5.6,165,150,(null),NONE,BROOKLYN
29-04-2019,119,22:24:00,1344,April,Monday,POM,3,3,ASSAULT,ASSAULT,30,30,(null),NONE,Y,N,NERVOUS,NERVOUS,29,BLACK,6,180,220,(null),NONE,BROOKLYN
29-04-2019,119,22:24:00,1344,April,Monday,POM,3,3,ASSAULT,ASSAULT,35,35,(null),NONE,Y,N,NERVOUS,NERVOUS,24,BLACK,5.9,172.5,165,(null),NONE,BROOKLYN
29-04-2019,119,22:24:00,1344,April,Monday,POM,3,3,ASSAULT,ASSAULT,35,35,(null),NONE,Y,N,NERVOUS,NERVOUS,27,BLACK,5.9,172.5,185,(null),NONE,BROOKLYN
29-04-2019,119,18:26:00,1106,April,Monday,POM,1,1,CPW,CPW,41,40+,(null),NONE,Y,N,ANNOYED,ANNOYED,17,BLACK HISPANIC,5.7,167.5,145,(null),NONE,BROOKLYN
01-04-2019,91,11:25:00,685,April,Monday,POM,2,2,CPW,CPW,5,5,CP OF MARIHUANA,CP OF MARIHUANA,Y,N,CALM,CALM,56,BLACK,6,180,240,(null),NONE,QUEENS
22-04-2019,112,19:25:00,1165,April,Monday,POM,2,2,MENACING,MENACING,5,5,(null),NONE,Y,N,APPARENTLY NORMAL,NONE,26,BLACK,5.1,152.5,250,TATTOOS,TATTOO,QUEENS
22-04-2019,112,19:25:00,1165,April,Monday,POM,2,2,MENACING,MENACING,5,5,(null),NONE,Y,N,APPARENTLY NORMAL,NONE,25,BLACK,5.8,170,165,TATTOOS,TATTOO,QUEENS
08-04-2019,98,13:25:00,805,April,Monday,POM,1,1,MENACING,MENACING,20,20,(null),NONE,Y,N,ANNOYED,ANNOYED,25,BLACK HISPANIC,6.4,190,325,(null),NONE,QUEENS
01-04-2019,91,06:40:00,400,April,Monday,POM,1,1,CPW,CPW,10,10,(null),NONE,Y,Y,RESPECTFUL/CALM,CALM,48,WHITE HISPANIC,5.1,152.5,220,(null),NONE,QUEENS
22-04-2019,112,16:15:00,975,April,Monday,SGT,0,0,BURGLARY,BURGLARY,3,3,BURGLARY,BURGLARY,Y,N,#N/A,NONE,37,WHITE HISPANIC,5.7,167.5,150,(null),NONE,QUEENS
01-04-2019,91,17:40:00,1060,April,Monday,POM,1,1,CPW,CPW,5,5,(null),NONE,Y,N,UNDERSTANDING,UNDERSTANDING,22,BLACK,5.11,177.5,200,(null),NONE,QUEENS
15-04-2019,105,14:32:00,872,April,Monday,POM,0,0,ASSAULT,ASSAULT,70,40+,(null),NONE,Y,N,UNCOOPERATIVE,NONE,18,BLACK,5.1,152.5,160,(null),NONE,QUEENS
15-04-2019,105,14:37:00,877,April,Monday,POM,0,0,ASSAULT,ASSAULT,70,40+,(null),NONE,Y,N,CALM,CALM,17,BLACK,5.1,152.5,150,(null),NONE,QUEENS
15-04-2019,105,14:37:00,877,April,Monday,POM,0,0,ASSAULT,ASSAULT,70,40+,(null),NONE,Y,N,CALM,CALM,18,BLACK,5.8,170,130,(null),NONE,QUEENS
15-04-2019,105,14:37:00,877,April,Monday,POM,0,0,ASSAULT,ASSAULT,70,40+,(null),NONE,Y,N,CALM,CALM,18,BLACK,5.1,152.5,160,(null),NONE,QUEENS
15-04-2019,105,01:57:00,117,April,Monday,POM,1,1,GRAND LARCENY,GRAND LARCENY,10,10,GRAND LARCENY,GRAND LARCENY,Y,N,NERVOUS,NERVOUS,24,BLACK,6,180,130,"BLACK HOODIE, BLACK JACKET, EAR BUDS, BLACK SNEAKERS",JACKET,QUEENS
22-04-2019,112,17:08:00,1028,April,Monday,POM,1,1,CPW,CPW,9,9,(null),NONE,Y,N,CONTENT,NONE,26,BLACK,5.11,177.5,160,"BLUE HOODED SWEATSHIRT, BLUE SWEATPANTS",SWEATSHIRT,QUEENS
01-04-2019,91,10:40:00,640,April,Monday,POM,1,1,BURGLARY,BURGLARY,10,10,BURGLARY,BURGLARY,Y,N,NORMAL,NORMAL,14,WHITE HISPANIC,6,180,135,(null),NONE,STATEN ISLAND
08-04-2019,98,15:40:00,940,April,Monday,POM,1,1,ASSAULT,ASSAULT,5,5,(null),NONE,Y,N,CALM,CALM,20,BLACK HISPANIC,5.9,172.5,160,(null),NONE,STATEN ISLAND
22-04-2019,112,03:35:00,215,April,Monday,POM,1,1,ASSAULT,ASSAULT,13,13,ASSAULT,ASSAULT,Y,N,COOPERATIVE,COOPERATIVE,27,WHITE HISPANIC,5.7,167.5,160,NONE,NONE,STATEN ISLAND
09-04-2019,99,11:19:00,679,April,Tuesday,POM,1,1,GRAND LARCENY,GRAND LARCENY,1,1,(null),NONE,Y,N,PISSED OFF,NONE,36,BLACK,6.2,185,180,N/A,NONE,MANHATTAN
09-04-2019,99,12:05:00,725,April,Tuesday,POM,1,1,GRAND LARCENY,GRAND LARCENY,15,15,GRAND LARCENY,GRAND LARCENY,Y,N,"UPSET, NERVOUS",NERVOUS,14,WHITE HISPANIC,5.3,157.5,160,(null),NONE,MANHATTAN
09-04-2019,99,11:20:00,680,April,Tuesday,POF,1,1,GRAND LARCENY,GRAND LARCENY,10,10,GRAND LARCENY,GRAND LARCENY,Y,N,CALM,CALM,16,BLACK HISPANIC,6.1,182.5,190,(null),NONE,MANHATTAN
09-04-2019,99,20:10:00,1210,April,Tuesday,POM,1,1,ASSAULT,ASSAULT,6,6,(null),NONE,Y,N,APPARENTLY NORMAL,NONE,41,BLACK,5.8,170,180,(null),NONE,MANHATTAN
30-04-2019,120,13:10:00,790,April,Tuesday,POM,0,0,CPW,CPW,1,1,(null),NONE,Y,N,CALM,CALM,41,BLACK,5.11,177.5,170,"GOATEE, BLACK HAT, GREY SWEATER",HAT,MANHATTAN
02-04-2019,92,21:40:00,1300,April,Tuesday,POM,1,1,CPW,CPW,5,5,(null),NONE,Y,N,ANNOYED,ANNOYED,34,BLACK,6.2,185,220,(null),NONE,MANHATTAN
30-04-2019,120,22:34:00,1354,April,Tuesday,POM,1,1,ROBBERY,ROBBERY,15,15,ROBBERY,ROBBERY,N,N,CALM,CALM,33,WHITE HISPANIC,5.8,170,170,"BLACK WINTER HAT, BLACK/GREY COAT, LONG BLACK HAIR IN PONYTAIL.",HAT,MANHATTAN
30-04-2019,120,22:34:00,1354,April,Tuesday,POM,1,1,ROBBERY,ROBBERY,15,15,ROBBERY,ROBBERY,N,N,CALM,CALM,34,BLACK,5.11,177.5,170,HAIR BRAIDS,NONE,MANHATTAN
30-04-2019,120,22:34:00,1354,April,Tuesday,POM,1,1,ROBBERY,ROBBERY,15,15,ROBBERY,ROBBERY,N,N,CALM,CALM,25,WHITE HISPANIC,5.6,165,165,(null),NONE,MANHATTAN
09-04-2019,99,14:15:00,855,April,Tuesday,POM,1,1,GRAND LARCENY,GRAND LARCENY,10,10,GRAND LARCENY,GRAND LARCENY,N,N,ACTING CONFUSED AS TO WHY HE WAS BEING STOPPED,NONE,16,BLACK,5.1,152.5,145,PINK HOODED SWEATER,NONE,MANHATTAN
02-04-2019,92,18:21:00,1101,April,Tuesday,POM,1,1,CPW,CPW,7,7,(null),NONE,Y,N,NERVOUS AND UNCOOPERATIVE,NERVOUS,13,BLACK,5.5,162.5,110,(null),NONE,MANHATTAN
23-04-2019,113,21:23:00,1283,April,Tuesday,POM,0,0,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,2,2,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,Y,N,APPARENTLY NORMAL,NONE,29,BLACK,6,180,175,(null),NONE,MANHATTAN
16-04-2019,106,16:38:00,998,April,Tuesday,POM,5,5,CPW,CPW,10,10,(null),NONE,Y,N,CALM,CALM,14,BLACK,5.3,157.5,115,(null),NONE,MANHATTAN
30-04-2019,120,19:15:00,1155,April,Tuesday,POM,2,2,CPW,CPW,10,10,(null),NONE,Y,N,"UPSET, AGGRESSIVE",UPSET,22,BLACK,5.9,172.5,150,(null),NONE,MANHATTAN
02-04-2019,92,16:10:00,970,April,Tuesday,POM,1,1,CPW,CPW,2,2,(null),NONE,Y,N,UNDERSTANDING,UNDERSTANDING,40,WHITE HISPANIC,5.7,167.5,180,"GREEN VEST, BLUE JEANS",NONE,MANHATTAN
09-04-2019,99,10:45:00,645,April,Tuesday,DT3,2,2,MURDER,OTHER,10,10,(null),NONE,N,N,CALM AFTER STOP EXPLAINED TO SUBJECT,CALM,23,BLACK,5.9,172.5,215,TATTOOS ON BODY AND HEAD,TATTOO,MANHATTAN
23-04-2019,113,22:45:00,1365,April,Tuesday,POM,1,1,CPW,CPW,17,17,(null),NONE,Y,N,ANGRY,ANGRY,30,BLACK,6.1,182.5,160,(null),NONE,MANHATTAN
16-04-2019,106,20:01:00,1201,April,Tuesday,POF,1,1,ROBBERY,ROBBERY,15,15,(null),NONE,Y,N,COOPERATIVE,COOPERATIVE,17,BLACK,5.1,152.5,160,(null),NONE,MANHATTAN
16-04-2019,106,20:01:00,1201,April,Tuesday,POF,1,1,ROBBERY,ROBBERY,15,15,(null),NONE,Y,N,COOPERATIVE,COOPERATIVE,20,BLACK,5.9,172.5,170,(null),NONE,MANHATTAN
30-04-2019,120,19:10:00,1150,April,Tuesday,POM,1,1,CRIMINAL TRESPASS,CRIMINAL TRESPASS,10,10,CRIMINAL TRESPASS,CRIMINAL TRESPASS,Y,N,NERVOUS,NERVOUS,17,BLACK,5.8,170,150,(null),NONE,MANHATTAN
23-04-2019,113,11:58:00,718,April,Tuesday,POM,0,0,CPW,CPW,5,5,(null),NONE,Y,N,UPSET,UPSET,58,WHITE HISPANIC,5.7,167.5,160,(null),NONE,MANHATTAN
23-04-2019,113,22:49:00,1369,April,Tuesday,POM,0,0,CPW,CPW,7,7,(null),NONE,Y,N,NERVOUS AND AFRIAD,NERVOUS,20,WHITE HISPANIC,5.6,165,150,(null),NONE,BRONX
16-04-2019,106,16:50:00,1010,April,Tuesday,LT,1,1,CPW,CPW,5,5,(null),NONE,N,N,VERBALLY COMBATIVE/THREATENING PHYSICAL HARM,COMBATIVE,29,BLACK,6.3,187.5,210,"BLACK WAIST LENGTH JACKET, BLACK HOODIE",JACKET,BRONX
09-04-2019,99,21:45:00,1305,April,Tuesday,POM,1,1,CPW,CPW,15,15,(null),NONE,N,N,NERVOUS,NERVOUS,14,BLACK,5.9,172.5,145,(null),NONE,BRONX
30-04-2019,120,20:20:00,1220,April,Tuesday,POM,1,1,ASSAULT,ASSAULT,5,5,(null),NONE,N,N,HIGHLY UNCOOPERATIVE,COOPERATIVE,20,BLACK,6.1,182.5,160,(null),NONE,BRONX
02-04-2019,92,17:17:00,1037,April,Tuesday,POM,1,1,CPW,CPW,7,7,(null),NONE,N,N,CALM,CALM,21,WHITE HISPANIC,6,180,165,N/A,NONE,BRONX
02-04-2019,92,17:17:00,1037,April,Tuesday,POM,1,1,CPW,CPW,7,7,(null),NONE,N,N,CALM,CALM,19,WHITE HISPANIC,5.8,170,150,(null),NONE,BRONX
02-04-2019,92,17:40:00,1060,April,Tuesday,POM,1,1,CPW,CPW,2,2,(null),NONE,N,N,COMBATIVE AND VERY AGRESSIVE,COMBATIVE,16,BLACK,5.7,167.5,140,(null),NONE,BRONX
30-04-2019,120,11:57:00,717,April,Tuesday,POM,1,1,CPW,CPW,1,1,OTHER,OTHER,Y,N,AGGRESSIVE/VIOLENT,NONE,21,BLACK HISPANIC,5.1,152.5,160,"""FIOR"" LEFT ARM TATTOOS",TATTOO,BRONX
30-04-2019,120,05:33:00,333,April,Tuesday,POM,2,2,AUTO STRIPPIG,OTHER,12,12,(null),NONE,Y,N,NORMAL,NORMAL,34,WHITE HISPANIC,5.6,165,220,"BEARD, DARK JEANS,DARK HOODIE, DARK BASEBALL HAT",BEARD,BRONX
30-04-2019,120,12:00:00,720,April,Tuesday,POM,1,1,ASSAULT,ASSAULT,17,17,(null),NONE,Y,N,#N/A,NONE,20,WHITE HISPANIC,5.5,162.5,155,(null),NONE,BRONX
16-04-2019,106,03:32:00,212,April,Tuesday,POM,5,5,OTHER,OTHER,10,10,(null),NONE,Y,N,CALM,CALM,43,WHITE,6,180,180,(null),NONE,BRONX
09-04-2019,99,17:50:00,1070,April,Tuesday,POM,2,2,CPW,CPW,2,2,(null),NONE,N,Y,NERVOUS,NERVOUS,13,BLACK HISPANIC,5.2,155,13,(null),NONE,BRONX
23-04-2019,113,12:50:00,770,April,Tuesday,POM,1,1,CPW,CPW,5,5,(null),NONE,N,N,NA,NONE,40,BLACK,5.9,172.5,240,NA,NONE,BRONX
30-04-2019,120,19:04:00,1144,April,Tuesday,POM,1,1,GRAND LARCENY AUTO,GRAND LARCENY AUTO,5,5,(null),NONE,Y,N,CALM,CALM,35,WHITE HISPANIC,5.5,162.5,165,(null),NONE,BRONX
30-04-2019,120,21:30:00,1290,April,Tuesday,POM,1,1,CPW,CPW,5,5,(null),NONE,N,N,THANKFUL,NONE,19,WHITE HISPANIC,5.7,167.5,150,(null),NONE,BRONX
02-04-2019,92,20:55:00,1255,April,Tuesday,POM,1,1,CPW,CPW,5,5,CRIMINAL POSSESSION OF CONTROLLE,OTHER,N,N,APOLOGETIC,NONE,32,BLACK HISPANIC,5.1,152.5,180,(null),NONE,BRONX
16-04-2019,106,05:07:00,307,April,Tuesday,POM,1,1,ROBBERY,ROBBERY,13,13,(null),NONE,Y,Y,ANGRY,ANGRY,31,WHITE HISPANIC,5.6,165,180,(null),NONE,BRONX
09-04-2019,99,05:08:00,308,April,Tuesday,POM,1,1,OTHER,OTHER,3,3,(null),NONE,Y,N,CALM,CALM,19,BLACK,5.9,172.5,150,(null),NONE,BROOKLYN
09-04-2019,99,18:15:00,1095,April,Tuesday,POM,1,1,CPW,CPW,5,5,(null),NONE,Y,N,UPSET,UPSET,20,WHITE HISPANIC,5.1,152.5,175,(null),NONE,BROOKLYN
23-04-2019,113,11:10:00,670,April,Tuesday,POM,1,1,MENACING,MENACING,15,15,(null),NONE,Y,N,UPSET,UPSET,25,BLACK,6.2,185,300,(null),NONE,BROOKLYN
23-04-2019,113,10:36:00,636,April,Tuesday,POM,1,1,PETIT LARCENY,PETIT LARCENY,6,6,PETIT LARCENY,PETIT LARCENY,Y,N,CALM,CALM,54,BLACK,5.9,172.5,165,N/A,NONE,BROOKLYN
30-04-2019,120,04:20:00,260,April,Tuesday,POM,0,0,ROBBERY,ROBBERY,7,7,ROBBERY,ROBBERY,Y,N,INTOX-ALCOHOL,NONE,26,BLACK,5.7,167.5,130,WHITE SHIRT WITH BACK DOTS,NONE,BROOKLYN
09-04-2019,99,15:00:00,900,April,Tuesday,SGT,30,10+,OTHER,OTHER,5,5,(null),NONE,N,N,CALM,CALM,26,WHITE,5.9,172.5,150,(null),NONE,BROOKLYN
30-04-2019,120,22:40:00,1360,April,Tuesday,POM,2,2,ROBBERY,ROBBERY,15,15,(null),NONE,Y,N,COMPLIANT,NONE,17,WHITE HISPANIC,5.6,165,160,WING TATTOO ON RIGHT SIDE OF NECK,TATTOO,BROOKLYN
30-04-2019,120,12:37:00,757,April,Tuesday,POM,1,1,ASSAULT,ASSAULT,8,8,(null),NONE,Y,N,AGGRESSIVE,NONE,33,BLACK,5.11,177.5,180,(null),NONE,BROOKLYN
09-04-2019,99,08:44:00,524,April,Tuesday,POF,2,2,ROBBERY,ROBBERY,2,2,ROBBERY,ROBBERY,Y,N,EVASIVE,NONE,20,BLACK,6.2,185,180,TATTOOS,TATTOO,BROOKLYN
16-04-2019,106,00:03:00,3,April,Tuesday,DTS,1,1,CPW,CPW,14,14,(null),NONE,N,N,CALM,CALM,24,BLACK,5.11,177.5,175,(null),NONE,BROOKLYN
16-04-2019,106,00:03:00,3,April,Tuesday,DTS,1,1,CPW,CPW,5,5,(null),NONE,N,N,#N/A,NONE,23,BLACK,5.8,170,140,(null),NONE,BROOKLYN
16-04-2019,106,00:04:00,4,April,Tuesday,SSA,1,1,CPW,CPW,10,10,(null),NONE,N,N,CALM,CALM,30,BLACK,6.2,185,190,(null),NONE,BROOKLYN
16-04-2019,106,10:55:00,655,April,Tuesday,POM,1,1,BURGLARY,BURGLARY,20,20,(null),NONE,Y,N,UPSET/UNDERSTANDING,UPSET,41,BLACK,6.2,185,190,(null),NONE,BROOKLYN
16-04-2019,106,10:55:00,655,April,Tuesday,POF,1,1,BURGLARY,BURGLARY,20,20,(null),NONE,Y,N,UNDERSTANDING OF WHY WE STOPPED HIM,UNDERSTANDING,31,BLACK,6.1,182.5,200,DREDS,NONE,BROOKLYN
30-04-2019,120,16:49:00,1009,April,Tuesday,POM,2,2,PETIT LARCENY,PETIT LARCENY,31,31,PETIT LARCENY,PETIT LARCENY,N,Y,#N/A,NONE,17,BLACK,5.8,170,140,(null),NONE,BROOKLYN
30-04-2019,120,16:49:00,1009,April,Tuesday,POM,2,2,PETIT LARCENY,PETIT LARCENY,31,31,PETIT LARCENY,PETIT LARCENY,N,N,#N/A,NONE,17,BLACK,5.4,160,130,(null),NONE,BROOKLYN
30-04-2019,120,16:49:00,1009,April,Tuesday,POM,2,2,PETIT LARCENY,PETIT LARCENY,31,31,PETIT LARCENY,PETIT LARCENY,N,N,#N/A,NONE,21,BLACK,5.1,152.5,150,(null),NONE,BROOKLYN
09-04-2019,99,08:01:00,481,April,Tuesday,POM,0,0,CPW,CPW,1,1,ASSAULT,ASSAULT,Y,N,UPSET,UPSET,24,BLACK,5.11,177.5,180,N/A,NONE,BROOKLYN
09-04-2019,99,14:45:00,885,April,Tuesday,POF,1,1,GRAND LARCENY AUTO,GRAND LARCENY AUTO,20,20,(null),NONE,Y,N,#N/A,NONE,17,BLACK,6,180,150,(null),NONE,BROOKLYN
09-04-2019,99,01:20:00,80,April,Tuesday,DTS,2,2,CPW,CPW,10,10,(null),NONE,N,N,CONFRONTATIONAL,NONE,37,BLACK,5.5,162.5,165,(null),NONE,BROOKLYN
23-04-2019,113,01:39:00,99,April,Tuesday,POM,1,1,CPW,CPW,3,3,(null),NONE,Y,N,CALM AND COOPERATIVE,CALM,38,BLACK,6.2,185,210,(null),NONE,BROOKLYN
30-04-2019,120,18:55:00,1135,April,Tuesday,POM,1,1,CPW,CPW,2,2,(null),NONE,Y,N,UPSET,UPSET,20,WHITE HISPANIC,5.1,152.5,150,NONE,NONE,BROOKLYN
